curie:ID	:LABEL	name	iri	source:string[]	study_url	raw_texts:string[]	columns:string[]	file_id:string[]	PatientID	AccessionNumber	Modality	PatientSex	PatientAge	SOPClassUID	Manufacturer	chrom	pos	ref	alt	genotype	quality	DOI	tool_type	assay	nf1Genotype	nf2Genotype	diagnosis	tumorType
syn11374354	Project			"projects"	https://nf.synapse.org/Explore/Studies/syn11374354/Details																							
syn25881328	Project			"projects"	https://nf.synapse.org/Explore/Studies/syn25881328/Details																							
hgnc:1662	biolink:GeneOrGeneProduct	CD34	https://bioregistry.io/hgnc:1662	"experimental_data;tabular_data"		"CD34"	"field2"	"syn25953258"																				
hgnc:6342	biolink:GeneOrGeneProduct	KIT	https://bioregistry.io/hgnc:6342	"experimental_data;tabular_data"		"C-KIT"	"field2"	"syn25953258"																				
fplx:S100	biolink:MacromolecularComplexOrProteinFamily	S100	https://bioregistry.io/fplx:S100	"experimental_data;tabular_data"		"S100"	"field2"	"syn25953258"																				
chebi:33364	biolink:SmallMolecule	platinum	https://bioregistry.io/chebi:33364	"experimental_data;tabular_data"		"PT"	"NF0007-2"	"syn25931889"																				
chebi:34342	biolink:SmallMolecule	3-methylcholanthrene	https://bioregistry.io/chebi:34342	"experimental_data;tabular_data"		"MC"	"NF0007-2"	"syn25931889"																				
hgnc:2714	biolink:GeneOrGeneProduct	DCX	https://bioregistry.io/hgnc:2714	"experimental_data;tabular_data"		"DC"	"NF0007-2"	"syn25931889"																				
efo:0007029	experimental_factor	SC	https://bioregistry.io/efo:0007029	"experimental_data;tabular_data"		"SC"	"NF0007-2"	"syn25931889"																				
hgnc:6343	biolink:GeneOrGeneProduct	KITLG	https://bioregistry.io/hgnc:6343	"experimental_data;tabular_data"		"SCF"	"NF0007-2"	"syn25931889"																				
mesh:D016207	biolink:GeneOrGeneProduct	Cytokines	https://bioregistry.io/mesh:D016207	"experimental_data;tabular_data"		"Cytokines,Forskoline,Mammo;Cytokines,DMEM,Forskoline;Cytokines,Forskoline,StemPro;negative regulation of cytokine secretion;Cytokines,StemPro;Cytokines,DMEM;Cytokines,Mammo"	"setSize;experimentalCondition"	"syn57257803;syn53217094;syn45172284;syn51713150;syn24214522;syn57257804;syn24214517"																				
chebi:15373	biolink:SmallMolecule	biopterin	https://bioregistry.io/chebi:15373	"experimental_data;tabular_data"		"BP"	"ID"	"syn24214522;syn24214520;syn24214518;syn24214521;syn24214517;syn24214524;syn24214523"																				
