:START_ID	:END_ID	:TYPE	source:string[]	raw_type
TCIA-RADIOLOGY	phs004225	HasStudy	"structural_information"	Has_Study
TCIA-RADIOLOGY	ACRIN 6677/RTOG 0625	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	REMBRANDT	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Brain-Tumor-Progression	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	QIN-HEADNECK	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Brain Tumor Recurrence Prediction after Gamma Knife Radiotherapy from MRI and Related DICOM-RT: An Open Annotated Dataset and Baseline Algorithm	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Low Dose CT Image and Projection Data	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Head-Neck-PET-CT	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	RIDER NEURO MRI	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Ivy Glioblastoma Atlas Project	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	AAPM RT-MAC Grand Challenge 2019	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	The Cancer Genome Atlas Head-Neck Squamous Cell Carcinoma Collection	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	ACRIN 6684	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Glioma Image Segmentation for Radiotherapy: RT targets, barriers to cancer spread, and organs at risk	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	The Clinical Proteomic Tumor Analysis Consortium Head and Neck Squamous Cell Carcinoma Collection	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	QIN-SARCOMA	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	HEAD-NECK-RADIOMICS-HN1	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Low-Dose CT Images of Healthy Cohort	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	The Cancer Genome Atlas Glioblastoma Multiforme Collection	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Head-and-neck squamous cell carcinoma patients with CT taken during pre-treatment, mid-treatment, and post-treatment	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Gamma Knife MR/CT/RTSTRUCT Sets With Hippocampal Contours	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	ACRIN 6685	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	LGG-1p19qDeletion	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	CT-RTSTRUCT-RTDOSE-RTPLAN Sets of Head and Neck Cancers Treated with Identical Prescriptions using IMRT: An Open Dataset for Deep Learning in Treatment Planning	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	QIN GBM Treatment Response	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Segmentation and Classification of Grade I and II Meningiomas from Magnetic Resonance Imaging: An Open Annotated Dataset	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	The Clinical Proteomic Tumor Analysis Consortium Glioblastoma Multiforme Collection	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Burdenko's Glioblastoma Progression Dataset	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	Head-Neck Cetuximab	HasParticipantGroup	"metadata"	Has_Participant_Group
TCIA-RADIOLOGY	The Head and Neck Lymph Nodes Dataset, Definitive, Non-contrast	HasParticipantGroup	"metadata"	Has_Participant_Group
