:START_ID	:END_ID	:TYPE	source:string[]	jacquard_score	score_cutoff	intersection_score	union_score	shared_edges:string[]	head_only_edges:string[]	tail_only_edges:string[]	edge_weights:string[]
syn2343195	PMID:29982664	published	"publications"					""	""	""	""
syn2343195	PMID:29897904	published	"publications"					""	""	""	""
syn4939878	PMID:28078640	published	"publications"					""	""	""	""
syn4939878	PMID:28198162	published	"publications"					""	""	""	""
syn4939906	PMID:29893754	published	"publications"					""	""	""	""
syn8012530	PMID:29415745	published	"publications"					""	""	""	""
syn4984604	PMID:28398289	published	"publications"					""	""	""	""
syn5610446	PMID:29925695	published	"publications"					""	""	""	""
syn5610446	PMID:28846462	published	"publications"					""	""	""	""
syn5698493	PMID:28066715	published	"publications"					""	""	""	""
syn7217928	PMID:26423696	published	"publications"					""	""	""	""
syn11672851	PMID:30128806	published	"publications"					""	""	""	""
syn11817821	PMID:28469964	published	"publications"					""	""	""	""
syn4939888	PMID:27666129	published	"publications"					""	""	""	""
syn4939888	PMID:26941216	published	"publications"					""	""	""	""
syn4939888	PMID:30298332	published	"publications"					""	""	""	""
syn4939888	PMID:30413310	published	"publications"					""	""	""	""
syn4939896	PMID:29570943	published	"publications"					""	""	""	""
syn4939890	PMID:28256556	published	"publications"					""	""	""	""
syn4939910	PMID:29720369	published	"publications"					""	""	""	""
syn7239479	PMID:27617404	published	"publications"					""	""	""	""
syn7217928	PMID:29055717	published	"publications"					""	""	""	""
syn5610425	PMID:30302402	published	"publications"					""	""	""	""
syn6633069	PMID:30531922	published	"publications"					""	""	""	""
syn5610446	PMID:	published	"publications"					""	""	""	""
syn5610446	PMID:29958847	published	"publications"					""	""	""	""
syn5562324	PMID:25360213	published	"publications"					""	""	""	""
syn5562324	PMID:28775147	published	"publications"					""	""	""	""
syn5610446	PMID:30915713	published	"publications"					""	""	""	""
syn5610425	PMID:30936125	published	"publications"					""	""	""	""
syn5610446	PMID:31246731	published	"publications"					""	""	""	""
syn18904024	PMID:31545171	published	"publications"					""	""	""	""
syn5610446	PMID:32074109	published	"publications"					""	""	""	""
syn11374337	PMID:30348676	published	"publications"					""	""	""	""
syn4939880	PMID:30800298	published	"publications"					""	""	""	""
syn5610425	PMID:32353955	published	"publications"					""	""	""	""
syn5714288	PMID:31091306	published	"publications"					""	""	""	""
syn5714288	PMID:26375012	published	"publications"					""	""	""	""
syn5714288	PMID:30796033	published	"publications"					""	""	""	""
syn5714288	PMID:30479396	published	"publications"					""	""	""	""
syn5714288	PMID:29596064	published	"publications"					""	""	""	""
syn5714288	PMID:29200117	published	"publications"					""	""	""	""
syn5714288	PMID:28465357	published	"publications"					""	""	""	""
syn5714288	PMID:31474359	published	"publications"					""	""	""	""
syn5714288	PMID:32459399	published	"publications"					""	""	""	""
syn4939878	PMID:32847704	published	"publications"					""	""	""	""
syn4939878	PMID:31081992	published	"publications"					""	""	""	""
syn4939878	PMID:29273891	published	"publications"					""	""	""	""
syn4939878	PMID:30465317	published	"publications"					""	""	""	""
syn9727752	PMID:33025139	published	"publications"					""	""	""	""
syn4939880	PMID:33085177	published	"publications"					""	""	""	""
syn4939910	PMID:33436083	published	"publications"					""	""	""	""
syn4939902	PMID:33436083	published	"publications"					""	""	""	""
syn22268639	PMID:33507559	published	"publications"					""	""	""	""
syn2343195	PMID:33461953	published	"publications"					""	""	""	""
syn4939902	PMID:33203698	published	"publications"					""	""	""	""
syn4939894	PMID:32642741	published	"publications"					""	""	""	""
syn4939902	PMID:32599735	published	"publications"					""	""	""	""
syn8016635	PMID:32439933	published	"publications"					""	""	""	""
syn5714288	PMID:32439933	published	"publications"					""	""	""	""
syn11374333	PMID:32439933	published	"publications"					""	""	""	""
syn8016650	PMID:32438819	published	"publications"					""	""	""	""
syn23532255	PMID:32438819	published	"publications"					""	""	""	""
syn23532255	PMID:32383545	published	"publications"					""	""	""	""
syn4939910	PMID:32245042	published	"publications"					""	""	""	""
syn5698493	PMID:33585982	published	"publications"					""	""	""	""
syn5610425	PMID:33669386	published	"publications"					""	""	""	""
syn21650484	PMID:33816648	published	"publications"					""	""	""	""
syn11374341	PMID:34237737	published	"publications"					""	""	""	""
syn20608511	PMID:34106871	published	"publications"					""	""	""	""
syn25961160	PMID:34065204	published	"publications"					""	""	""	""
syn5610446	PMID:34065204	published	"publications"					""	""	""	""
syn5610425	PMID:33978635	published	"publications"					""	""	""	""
syn8016650	PMID:33946854	published	"publications"					""	""	""	""
syn8016650	PMID:33934112	published	"publications"					""	""	""	""
syn23651229	PMID:29219400	published	"publications"					""	""	""	""
syn11374333	PMID:34604833	published	"publications"					""	""	""	""
syn11374333	PMID:34345017	published	"publications"					""	""	""	""
syn11374333	PMID:33108355	published	"publications"					""	""	""	""
