curie:ID	:LABEL	name	raw_texts:string[]	columns:string[]	iri	file_id:string[]	tool_type	DOI	source:string[]	study_url
syn2343195:Wiki	Wiki		""	""		""			"wiki"	https://nf.synapse.org/Explore/Studies/DetailsPage/StudyDetails?studyId=syn2343195
mesh:D012106	other	Research	"research;Research;RESEARCH"	"wiki"	https://bioregistry.io/mesh:D012106	""			"wiki"	
mesh:D030342	disease	Genetic Diseases, Inborn	"genetic diseases;genetic disease;genetic disorders;genetic disorder;inherited disease;hereditary diseases"	"wiki"	https://bioregistry.io/mesh:D030342	""			"wiki"	
mesh:D014937	other	Work	"work;Work"	"wiki"	https://bioregistry.io/mesh:D014937	""			"wiki"	
mesh:D006040	other	Goals	"Goals;goals;goal"	"wiki"	https://bioregistry.io/mesh:D006040	""			"wiki"	
mesh:D015507	small_molecule	Drugs, Investigational	"Investigational New Drug"	"wiki"	https://bioregistry.io/mesh:D015507	""			"wiki"	
mesh:D005582	other	Foundations	"Foundation;foundation"	"wiki"	https://bioregistry.io/mesh:D005582	""			"wiki"	
mesh:D004353	experimental_factor	Drug Evaluation, Preclinical	"Drug Screening;Drug Screenings;drug screenings;drug screening"	"wiki"	https://bioregistry.io/mesh:D004353	""			"wiki"	
chebi:61115	small_molecule	EC 3.5.1.98 (histone deacetylase) inhibitor	"HDAC inhibitors"	"wiki"	https://bioregistry.io/chebi:61115	""			"wiki"	
efo:0002887	experimental_factor	mouse cell line	"mouse cell line"	"wiki"	https://bioregistry.io/efo:0002887	""			"wiki"	
mesh:D007990	other	Libraries	"libraries;Library;library"	"wiki"	https://bioregistry.io/mesh:D007990	""			"wiki"	
hp:5200134	disease	Jumping	"Jumping"	"wiki"	https://bioregistry.io/hp:5200134	""			"wiki"	
mesh:D002869	disease	Chromosome Aberrations	"chromosomal aberrations;chromosomal abnormalities"	"wiki"	https://bioregistry.io/mesh:D002869	""			"wiki"	
mesh:D005727	anatomical_region	Ganglia, Spinal	"dorsal root ganglia;dorsal root ganglion"	"wiki"	https://bioregistry.io/mesh:D005727	""			"wiki"	
chebi:35222	small_molecule	inhibitor	"inhibitors;Inhibitors"	"wiki"	https://bioregistry.io/chebi:35222	""			"wiki"	
syn4939872:Wiki	Wiki		""	""		""			"wiki"	https://nf.synapse.org/Explore/Studies/DetailsPage/StudyDetails?studyId=syn4939872
mesh:D013812	experimental_factor	Therapeutics	"treatments;Therapies;Treatments;therapies;Therapeutics;therapeutic;Therapy;therapeutics;therapy;Therapeutic"	"wiki"	https://bioregistry.io/mesh:D013812	""			"wiki"	
