curie:ID	:LABEL	name	raw_texts:string[]	columns:string[]	iri	file_id:string[]	tool_type	DOI	source:string[]	study_url
HEK293 NF1 -/- with R1306X mNf1 cDNA	tool	HEK293 NF1 -/- with R1306X mNf1 cDNA	""	""		""	Cell Line		"tools"	
rrid:CVCL_YL59	tool	SZ-NF4	""	""	https://bioregistry.io/rrid:CVCL_YL59	""	Cell Line		"tools"	
rrid:CVCL_3695	tool	HBE135-E6E7	""	""	https://bioregistry.io/rrid:CVCL_3695	""	Cell Line		"tools"	
rrid:CVCL_1B47	tool	90-8	""	""	https://bioregistry.io/rrid:CVCL_1B47	""	Cell Line		"tools"	
WT ES	tool	WT ES	""	""		""	Cell Line		"tools"	
HEK293 NF1 -/- Exon 47 insT #14	tool	HEK293 NF1 -/- Exon 47 insT #14	""	""		""	Cell Line		"tools"	
rrid:CVCL_UI66	tool	hTERT SC ipn97.4	""	""	https://bioregistry.io/rrid:CVCL_UI66	""	Cell Line		"tools"	
HEK293 NF1 -/- with R1947X mNf1 cDNA	tool	HEK293 NF1 -/- with R1947X mNf1 cDNA	""	""		""	Cell Line		"tools"	
Nf1-/- skin-derived precursor cells	tool	Nf1-/- skin-derived precursor cells	""	""		""	Cell Line		"tools"	
rrid:CVCL_A258	tool	KCL025	""	""	https://bioregistry.io/rrid:CVCL_A258	""	Cell Line		"tools"	
rrid:CVCL_JG80	tool	NF1	""	""	https://bioregistry.io/rrid:CVCL_JG80	""	Cell Line		"tools"	
Dhh-Cre; NF1Arg681*/flox Schwann Cells	tool	Dhh-Cre; NF1Arg681*/flox Schwann Cells	""	""		""	Cell Line		"tools"	
rrid:CVCL_YU15	tool	NCC-MPNST3-X2-C1	""	""	https://bioregistry.io/rrid:CVCL_YU15	""	Cell Line		"tools"	
rrid:CVCL_UN12	tool	3PNF_SiPSsv_MM_11	""	""	https://bioregistry.io/rrid:CVCL_UN12	""	Cell Line		"tools"	
rrid:CVCL_8916	tool	ST88-14	""	""	https://bioregistry.io/rrid:CVCL_8916	""	Cell Line		"tools"	
Schwann cell NF1 -/- (iPN97.4 #24)	tool	Schwann cell NF1 -/- (iPN97.4 #24)	""	""		""	Cell Line		"tools"	
rrid:CVCL_KT82	tool	HeLa SilenciX NF1	""	""	https://bioregistry.io/rrid:CVCL_KT82	""	Cell Line		"tools"	
rrid:CVCL_UI69	tool	hTERT NF1 ipnNF95.11c	""	""	https://bioregistry.io/rrid:CVCL_UI69	""	Cell Line		"tools"	
ELK-TAD Luciferase Reporter HEK293 Stable NF1 -/-	tool	ELK-TAD Luciferase Reporter HEK293 Stable NF1 -/-	""	""		""	Cell Line		"tools"	
HEK293 NF1 -/- with R681X mNf1 cDNA	tool	HEK293 NF1 -/- with R681X mNf1 cDNA	""	""		""	Cell Line		"tools"	
rrid:CVCL_YL57	tool	SZ-NF1	""	""	https://bioregistry.io/rrid:CVCL_YL57	""	Cell Line		"tools"	
Schwann cell NF1 -/- with R816X mNf1 cDNA	tool	Schwann cell NF1 -/- with R816X mNf1 cDNA	""	""		""	Cell Line		"tools"	
rrid:CVCL_UI64	tool	hTERT ipn02.3 2λ	""	""	https://bioregistry.io/rrid:CVCL_UI64	""	Cell Line		"tools"	
rrid:CVCL_UI65	tool	hTERT ipn02.8	""	""	https://bioregistry.io/rrid:CVCL_UI65	""	Cell Line		"tools"	
Schwann cell NF1 -/- with WT tagged mNf1 cDNA	tool	Schwann cell NF1 -/- with WT tagged mNf1 cDNA	""	""		""	Cell Line		"tools"	
rrid:CVCL_UI74	tool	hTERT NF1 ipn06.2 A	""	""	https://bioregistry.io/rrid:CVCL_UI74	""	Cell Line		"tools"	
HEK293 NF1 -/- with R461X mNf1 cDNA	tool	HEK293 NF1 -/- with R461X mNf1 cDNA	""	""		""	Cell Line		"tools"	
