curie:ID	:LABEL	name	raw_texts:string[]	columns:string[]	iri	file_id:string[]	tool_type	DOI	source:string[]	study_url
CTF	fundingAgency	CTF	"CTF"	"metadata"		""			"metadata"	
Completed	studyStatus	Completed	"Completed"	"metadata"		""			"metadata"	
Synodos	initiative	Synodos	"Synodos"	"metadata"		""			"metadata"	
syn4489	parentId	syn4489	"syn4489"	"metadata"		""			"metadata"	
Available	dataStatus	Available	"Available"	"metadata"		""			"metadata"	
Johns Hopkins Medicine	institutions	Johns Hopkins Medicine	"Johns Hopkins Medicine"	"metadata"		""			"metadata"	
Indiana University	institutions	Indiana University	"Indiana University"	"metadata"		""			"metadata"	
Massachusetts General Hospital	institutions	Massachusetts General Hospital	"Massachusetts General Hospital"	"metadata"		""			"metadata"	
Harvard Medical School	institutions	Harvard Medical School	"Harvard Medical School"	"metadata"		""			"metadata"	
University of Central Florida	institutions	University of Central Florida	"University of Central Florida"	"metadata"		""			"metadata"	
FLI-Leibniz-Germany	institutions	FLI-Leibniz-Germany	"FLI-Leibniz-Germany"	"metadata"		""			"metadata"	
University of North Carolina	institutions	University of North Carolina	"University of North Carolina"	"metadata"		""			"metadata"	
Ohio State University	institutions	Ohio State University	"Ohio State University"	"metadata"		""			"metadata"	
Sage Bionetworks	institutions	Sage Bionetworks	"Sage Bionetworks"	"metadata"		""			"metadata"	
Children's Tumor Foundation	institutions	Children's Tumor Foundation	"Children's Tumor Foundation"	"metadata"		""			"metadata"	
Analysis	dataType	Analysis	"Analysis"	"metadata"		""			"metadata"	
drugScreen	dataType	drugScreen	"drugScreen"	"metadata"		""			"metadata"	
geneExpression	dataType	geneExpression	"geneExpression"	"metadata"		""			"metadata"	
genomicVariants	dataType	genomicVariants	"genomicVariants"	"metadata"		""			"metadata"	
immunoassay	dataType	immunoassay	"immunoassay"	"metadata"		""			"metadata"	
kinomics	dataType	kinomics	"kinomics"	"metadata"		""			"metadata"	
volume	dataType	volume	"volume"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88541	grantDOI	https://doi.org/10.48105/pc.gr.88541	"https://doi.org/10.48105/pc.gr.88541"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88552	grantDOI	https://doi.org/10.48105/pc.gr.88552	"https://doi.org/10.48105/pc.gr.88552"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88580	grantDOI	https://doi.org/10.48105/pc.gr.88580	"https://doi.org/10.48105/pc.gr.88580"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88495	grantDOI	https://doi.org/10.48105/pc.gr.88495	"https://doi.org/10.48105/pc.gr.88495"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88438	grantDOI	https://doi.org/10.48105/pc.gr.88438	"https://doi.org/10.48105/pc.gr.88438"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88461	grantDOI	https://doi.org/10.48105/pc.gr.88461	"https://doi.org/10.48105/pc.gr.88461"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88567	grantDOI	https://doi.org/10.48105/pc.gr.88567	"https://doi.org/10.48105/pc.gr.88567"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88682	grantDOI	https://doi.org/10.48105/pc.gr.88682	"https://doi.org/10.48105/pc.gr.88682"	"metadata"		""			"metadata"	
https://doi.org/10.48105/pc.gr.88823	grantDOI	https://doi.org/10.48105/pc.gr.88823	"https://doi.org/10.48105/pc.gr.88823"	"metadata"		""			"metadata"	
