:START_ID	:END_ID	:TYPE	source:string[]	jacquard_score	score_cutoff	intersection_score	union_score	shared_edges:string[]	head_only_edges:string[]	tail_only_edges:string[]	edge_weights:string[]
syn4939874	rrid:CVCL_UI70	usesTool	"tools"					""	""	""	""
syn4939874	ipNF95.6	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI72	usesTool	"tools"					""	""	""	""
syn4939874	ipNF05.5 (mixed clone)	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI71	usesTool	"tools"					""	""	""	""
syn4939874	ipNF05.5	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI67	usesTool	"tools"					""	""	""	""
syn4939874	ipNF95.11bC	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI69	usesTool	"tools"					""	""	""	""
syn4939874	ipnNF95.11c	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI64	usesTool	"tools"					""	""	""	""
syn4939874	ipn02.3	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI75	usesTool	"tools"					""	""	""	""
syn4939874	sipnNF95.12B	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI66	usesTool	"tools"					""	""	""	""
syn4939874	ipn97.4	usesTool	"tools"					""	""	""	""
syn4939874	rrid:CVCL_UI78	usesTool	"tools"					""	""	""	""
syn4939874	ipNF04.4	usesTool	"tools"					""	""	""	""
syn4939874	hTERT NF1 sipnNF95.12B	usesTool	"tools"					""	""	""	""
syn4939874	hTERT NF1 ipNF04.4	usesTool	"tools"					""	""	""	""
syn4939874	hTERT NF1 ipNF95.6	usesTool	"tools"					""	""	""	""
syn4939874	hTERT NF1 ipNF05.5 (Mixed clones)	usesTool	"tools"					""	""	""	""
syn4939874	hTERT NF1 ipnNF95.11c	usesTool	"tools"					""	""	""	""
syn4939874	hTERT NF1 ipNF95.11b C	usesTool	"tools"					""	""	""	""
syn4939874	hTERT NF1 ipNF05.5	usesTool	"tools"					""	""	""	""
syn4939902	JH-2-009	usesTool	"tools"					""	""	""	""
syn4939902	JH-2-002	usesTool	"tools"					""	""	""	""
syn4939902	JH-2-031	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI64	usesTool	"tools"					""	""	""	""
syn4939906	ipn02.3	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI65	usesTool	"tools"					""	""	""	""
syn4939906	ipn02.8	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI72	usesTool	"tools"					""	""	""	""
syn4939906	ipNF05.5 (mixed clone)	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI71	usesTool	"tools"					""	""	""	""
syn4939906	ipNF05.5	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI74	usesTool	"tools"					""	""	""	""
syn4939906	ipNF06.2A	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI68	usesTool	"tools"					""	""	""	""
syn4939906	ipNF95.11bC_T	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI69	usesTool	"tools"					""	""	""	""
syn4939906	ipnNF95.11c	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI70	usesTool	"tools"					""	""	""	""
syn4939906	ipNF95.6	usesTool	"tools"					""	""	""	""
syn4939906	rrid:CVCL_UI67	usesTool	"tools"					""	""	""	""
syn4939906	ipNF95.11bC	usesTool	"tools"					""	""	""	""
syn7217928	ipn02.8	usesTool	"tools"					""	""	""	""
syn7217928	ipNF95.6	usesTool	"tools"					""	""	""	""
syn7217928	ipn97.4	usesTool	"tools"					""	""	""	""
syn7217928	ipNF95.11bC	usesTool	"tools"					""	""	""	""
syn7217928	ipNF95.11bC_T	usesTool	"tools"					""	""	""	""
syn7231973	rrid:CVCL_UN11	usesTool	"tools"					""	""	""	""
syn11374339	icNF93.1a	usesTool	"tools"					""	""	""	""
syn11374339	icNF97.2b	usesTool	"tools"					""	""	""	""
syn11374339	cNF97.2a	usesTool	"tools"					""	""	""	""
syn11374339	cNF98.4c	usesTool	"tools"					""	""	""	""
syn11374339	icNF98.4c	usesTool	"tools"					""	""	""	""
syn11374339	icNF97.5	usesTool	"tools"					""	""	""	""
syn11374339	icNF00.10a	usesTool	"tools"					""	""	""	""
syn11374339	icNF09.5	usesTool	"tools"					""	""	""	""
syn11374339	icNF18.1a	usesTool	"tools"					""	""	""	""
syn11374339	icNF97.2a	usesTool	"tools"					""	""	""	""
syn11374339	icNF98.4d	usesTool	"tools"					""	""	""	""
syn11374339	cNF00.10a	usesTool	"tools"					""	""	""	""
syn11374339	i28cNF	usesTool	"tools"					""	""	""	""
syn11374339	icNF04.9a	usesTool	"tools"					""	""	""	""
syn11374339	icNF99.1	usesTool	"tools"					""	""	""	""
syn11374339	cNF04.9a	usesTool	"tools"					""	""	""	""
syn11374339	rrid:CVCL_B9V6	usesTool	"tools"					""	""	""	""
syn11374339	rrid:CVCL_B9V7	usesTool	"tools"					""	""	""	""
syn11374339	rrid:CVCL_B9VA	usesTool	"tools"					""	""	""	""
syn11374339	rrid:CVCL_B9VC	usesTool	"tools"					""	""	""	""
