:START_ID	:END_ID	:TYPE	source:string[]
syn2343195	syn2343195:Wiki	hasWiki	wiki
syn2343195:Wiki	mesh:D008579	mentions	wiki
syn2343195:Wiki	go:0045202	mentions	wiki
syn2343195:Wiki	hgnc:10854	mentions	wiki
syn2343195:Wiki	hgnc:7773	mentions	wiki
syn2343195:Wiki	mesh:D017253	mentions	wiki
syn2343195:Wiki	mesh:D012106	mentions	wiki
syn2343195:Wiki	mesh:D030342	mentions	wiki
syn2343195:Wiki	mesh:D016518	mentions	wiki
syn2343195:Wiki	mesh:D014937	mentions	wiki
syn2343195:Wiki	hgnc:9657	mentions	wiki
syn2343195:Wiki	mesh:D006040	mentions	wiki
syn2343195:Wiki	mesh:D055808	mentions	wiki
syn2343195:Wiki	hgnc:3349	mentions	wiki
syn2343195:Wiki	hgnc:18549	mentions	wiki
syn2343195:Wiki	mesh:D003933	mentions	wiki
syn2343195:Wiki	mesh:D009369	mentions	wiki
syn2343195:Wiki	doid:3192	mentions	wiki
syn2343195:Wiki	mesh:D015507	mentions	wiki
syn2343195:Wiki	mesh:D002648	mentions	wiki
syn2343195:Wiki	mesh:D005582	mentions	wiki
syn2343195:Wiki	hgnc:7784	mentions	wiki
syn2343195:Wiki	mesh:D004353	mentions	wiki
syn2343195:Wiki	chebi:25367	mentions	wiki
syn2343195:Wiki	chebi:23888	mentions	wiki
syn2343195:Wiki	hgnc:3942	mentions	wiki
syn2343195:Wiki	chebi:61115	mentions	wiki
syn2343195:Wiki	mesh:D006801	mentions	wiki
syn2343195:Wiki	efo:0002887	mentions	wiki
syn2343195:Wiki	mesh:D007990	mentions	wiki
syn2343195:Wiki	mesh:D000072666	mentions	wiki
syn2343195:Wiki	hp:5200134	mentions	wiki
syn2343195:Wiki	mesh:D002869	mentions	wiki
syn2343195:Wiki	hgnc:2468	mentions	wiki
syn2343195:Wiki	mesh:D000081246	mentions	wiki
syn2343195:Wiki	mesh:D051379	mentions	wiki
syn2343195:Wiki	mesh:D005727	mentions	wiki
syn2343195:Wiki	chebi:35222	mentions	wiki
syn2343195:Wiki	efo:0000989	mentions	wiki
syn4939872	syn4939872:Wiki	hasWiki	wiki
syn4939872:Wiki	mesh:D013812	mentions	wiki
syn4939872:Wiki	mesh:D009455	mentions	wiki
syn4939872:Wiki	mesh:D051379	mentions	wiki
syn4939872:Wiki	mesh:D034742	mentions	wiki
syn4939872:Wiki	mesh:D018318	mentions	wiki
syn4939872:Wiki	chebi:59163	mentions	wiki
syn4939872:Wiki	hgnc:7094	mentions	wiki
syn4939872:Wiki	hgnc:11364	mentions	wiki
syn4939872:Wiki	mesh:D016372	mentions	wiki
syn4939872:Wiki	mesh:D009369	mentions	wiki
syn4939872:Wiki	mesh:D009101	mentions	wiki
syn4939872:Wiki	mesh:D006040	mentions	wiki
syn4939872:Wiki	hgnc:29866	mentions	wiki
syn4939872:Wiki	efo:0004445	mentions	wiki
syn4939872:Wiki	efo:0000507	mentions	wiki
syn4939872:Wiki	mesh:D016019	mentions	wiki
syn4939872:Wiki	chebi:84603	mentions	wiki
syn4939872:Wiki	fplx:MEK	mentions	wiki
syn4939872:Wiki	fplx:STAT	mentions	wiki
syn4939872:Wiki	mesh:D008722	mentions	wiki
syn4939872:Wiki	efo:0000750	mentions	wiki
syn4939872:Wiki	mesh:D009837	mentions	wiki
syn4939872:Wiki	chebi:23888	mentions	wiki
syn4939872:Wiki	hgnc:22432	mentions	wiki
syn4939872:Wiki	mesh:D008854	mentions	wiki
syn4939872:Wiki	mesh:D012583	mentions	wiki
syn4939872:Wiki	go:0030424	mentions	wiki
syn4939872:Wiki	mesh:D010641	mentions	wiki
syn4939872:Wiki	mesh:D006653	mentions	wiki
syn4939872:Wiki	mesh:D001769	mentions	wiki
syn4939872:Wiki	hgnc:3349	mentions	wiki
