:START_ID	:END_ID	:TYPE	source:string[]
syn2343195	syn27761862	has_relatedStudies	metadata
syn2343195	syn51907739	has_relatedStudies	metadata
syn2343195	syn26383473	has_relatedStudies	metadata
syn2343195	syn22268652	has_relatedStudies	metadata
syn4939872	syn51360851	has_relatedStudies	metadata
syn4939872	syn51658171	has_relatedStudies	metadata
syn4939872	syn22268639	has_relatedStudies	metadata
syn4939872	syn22268652	has_relatedStudies	metadata
syn4939874	syn4939906	has_relatedStudies	metadata
syn4939874	syn4939902	has_relatedStudies	metadata
syn4939874	syn7217946	has_relatedStudies	metadata
syn4939874	syn7239479	has_relatedStudies	metadata
syn4939876	syn51116567	has_relatedStudies	metadata
syn4939876	syn7239479	has_relatedStudies	metadata
syn4939876	syn21984813	has_relatedStudies	metadata
syn4939876	syn27761862	has_relatedStudies	metadata
syn4939878	syn51730549	has_relatedStudies	metadata
syn4939878	syn51356860	has_relatedStudies	metadata
syn4939878	syn4939888	has_relatedStudies	metadata
syn4939878	syn26957643	has_relatedStudies	metadata
syn4939880	syn4939888	has_relatedStudies	metadata
syn4939880	syn4939912	has_relatedStudies	metadata
syn4939880	syn35627501	has_relatedStudies	metadata
syn4939880	syn51227166	has_relatedStudies	metadata
syn4939884	syn51204782	has_relatedStudies	metadata
syn4939884	syn11638893	has_relatedStudies	metadata
syn4939884	syn52396692	has_relatedStudies	metadata
syn4939884	syn22267330	has_relatedStudies	metadata
syn4939888	syn4939912	has_relatedStudies	metadata
syn4939888	syn4939902	has_relatedStudies	metadata
syn4939888	syn51116577	has_relatedStudies	metadata
syn4939888	syn4939880	has_relatedStudies	metadata
syn4939890	syn11374345	has_relatedStudies	metadata
syn4939890	syn51360851	has_relatedStudies	metadata
syn4939890	syn4939892	has_relatedStudies	metadata
syn4939890	syn22268639	has_relatedStudies	metadata
syn4939892	syn4939890	has_relatedStudies	metadata
syn4939892	syn51360851	has_relatedStudies	metadata
syn4939892	syn51301409	has_relatedStudies	metadata
syn4939892	syn23532271	has_relatedStudies	metadata
syn4939894	syn36544517	has_relatedStudies	metadata
syn4939894	syn36528579	has_relatedStudies	metadata
syn4939894	syn21650488	has_relatedStudies	metadata
syn4939894	syn21650476	has_relatedStudies	metadata
syn4939896	syn51227166	has_relatedStudies	metadata
syn4939896	syn35636485	has_relatedStudies	metadata
syn4939896	syn4939912	has_relatedStudies	metadata
syn4939896	syn35637409	has_relatedStudies	metadata
syn4939902	syn7217946	has_relatedStudies	metadata
syn4939902	syn4939874	has_relatedStudies	metadata
syn4939902	syn4939906	has_relatedStudies	metadata
syn4939902	syn51116567	has_relatedStudies	metadata
syn4939904	syn11374349	has_relatedStudies	metadata
