curie:ID	:LABEL	grounded_entity_name	raw_texts:string[]	columns:string[]	iri	file_id:string[]
hgnc:936	human_gene_protein	BAD	"Bad"	"mqcClass"	https://bioregistry.io/hgnc:936	"syn18457435;syn18457477;syn18457410;syn18457461"
hgnc:391	human_gene_protein	AKT1	">sp|P31749|AKT1_HUMAN RAC-alpha serine/threonine-protein kinase OS=Homo sapiens GN=AKT1 PE=1 SV=2;AKT1;RAC-alpha serine/threonine-protein kinase (Fragment) OS;RAC-alpha serine/threonine-protein kinase OS;RAC-alpha serine/threonine-protein kinase;Akt1;RAC-alpha serine/threonine-protein kinase OS=Homo sapiens GN=AKT1 PE=1 SV=2 - [AKT1_HUMAN];>tr|B7Z5R1|B7Z5R1_HUMAN RAC-alpha serine/threonine-protein kinase OS=Homo sapiens GN=AKT1 PE=2 SV=1"	"Kinase4;Kinase3;target;Gene Symbol;Gene names2;Gene2;Kinase2;Target;protein;Uniprot;Family;Gene;Description;Kinase;Fasta headers;Protein names;Uniprot ID;Gene names;Uniprot Kinase Name"	https://bioregistry.io/hgnc:391	"syn6179635;syn5917344;syn6179468;syn6182339;syn6182361;syn5522643;syn5522647;syn18457645;syn5522648;syn18457507;syn6179678;syn6179597;syn18457639;syn6182356;syn18457508;syn6179652;syn18457516;syn5917348;syn5522646;syn6179420"
hgnc:392	human_gene_protein	AKT2	"RAC-beta serine/threonine-protein kinase (Fragment) OS;RAC-beta serine/threonine-protein kinase OS;RAC-beta serine/threonine-protein kinase;AKT2 protein OS;Akt2;AKT2;>tr|M0R0P9|M0R0P9_HUMAN RAC-beta serine/threonine-protein kinase OS=Homo sapiens GN=AKT2;>sp|P31751|AKT2_HUMAN RAC-beta serine/threonine-protein kinase OS=Homo sapiens GN=AKT2 PE=1 SV=2;>tr|Q0VAN0|Q0VAN0_HUMAN AKT2 protein OS=Homo sapiens GN=AKT2 PE=2 SV=1"	"Kinase4;Gene;Description;Kinase3;Gene Symbol;Uniprot Kinase Name;Uniprot;Kinase;Gene2;Gene names2;protein;Uniprot ID;Gene names;Kinase2;Fasta headers;Family;Protein names"	https://bioregistry.io/hgnc:392	"syn6179635;syn6182339;syn6182361;syn18457645;syn6179597;syn6179678;syn6182356;syn6179420;syn6179580;syn6179644;syn6181167;syn6179555;syn6179671;syn6179568;syn6179454;syn6182329;syn6182623;syn6182332;syn6179516;syn6179370"
hgnc:9380	human_gene_protein	PRKACA	">tr|K7ERP6|K7ERP6_HUMAN Protein kinase C alpha type (Fragment) OS=Homo sapiens GN=PRKACA PE=4 SV=1;PRKACA;>sp|P17612|KAPCA_HUMAN cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens GN=PRKACA PE=1 SV=2;KIN27;cAMP-dependent protein kinase catalytic subunit alpha;cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens GN=PRKACA PE=1 SV=2 - [KAPCA_HUMAN];Prkaca;cAMP-dependent protein kinase catalytic subunit alpha OS"	"Gene;Description;Gene Symbol;Uniprot;Kinase;Gene2;Gene names2;protein;Gene names;Kinase2;Fasta headers;Protein names"	https://bioregistry.io/hgnc:9380	"syn6179635;syn18457649;syn6182339;syn6179468;syn6182353;syn6182361;syn18457645;syn6179597;syn6179678;syn6179383;syn18457639;syn6182356;syn6179652;syn6179420;syn6179580;syn6179644;syn6181167;syn6179555;syn6179671;syn6179568"
hgnc:9381	human_gene_protein	PRKACB	">tr|B1APF8|B1APF8_HU;cAMP-dependent protein kinase catalytic subunit beta OS;cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens GN=PRKACB PE=1 SV=2 - [KAPCB_HUMAN];>tr|B1APG2|B1APG2_HUMAN cAMP-dependent protein kinase catalytic subunit beta (Fragment) OS=Homo sapiens GN=PRKACB PE=2 SV=1;PRKACB;cAMP-dependent protein kinase catalytic subunit beta;Prkacb;>sp|P22694|KAPCB_HUMAN cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens GN=PRKACB PE=1 SV=2"	"Gene;Description;Gene Symbol;Uniprot;Kinase;Gene2;Gene names2;protein;Gene names;Kinase2;Fasta headers;Protein names"	https://bioregistry.io/hgnc:9381	"syn6179635;syn18457649;syn6182339;syn6179468;syn6182353;syn6182361;syn18457645;syn6179597;syn6179678;syn6179383;syn18457639;syn6182356;syn6179652;syn6179420;syn6179580;syn6179644;syn6181167;syn6179555;syn6179671;syn6179568"
hgnc:9393	human_gene_protein	PRKCA	"Prkca;PRKCA"	"Gene;Target;Gene Symbol;Kinase;Gene2;Gene names2;protein;Gene names;Kinase2;target;Uniprot"	https://bioregistry.io/hgnc:9393	"syn6179635;syn6182361;syn5522647;syn18457507;syn6179678;syn6179383;syn5917348;syn6179644;syn6182329;syn6179658;syn6179347;syn6179528;syn6179342;syn6182317;syn6179667;syn6179547;syn6179390;syn6179497;syn6179375;syn5917344"
hgnc:9399	human_gene_protein	PRKCD	"PRKCD;Prkcd"	"Gene;Gene Symbol;Kinase;Gene2;Gene names2;protein;Gene names;Kinase2;Uniprot"	https://bioregistry.io/hgnc:9399	"syn6179635;syn6182339;syn6182361;syn18457645;syn6179678;syn6182356;syn6179652;syn6179644;syn6181167;syn6179555;syn6179671;syn6179568;syn6179379;syn6179521;syn6179454;syn6182329;syn6182623;syn6182332;syn6179516;syn6179366"
hgnc:9401	human_gene_protein	PRKCE	"Prkce;PRKCE"	"Gene;Uniprot;Gene Symbol"	https://bioregistry.io/hgnc:9401	"syn6179635;syn6179644;syn6179436;syn6182339;syn6181167;syn6179555;syn6179671;syn6179568;syn6182638;syn6179497;syn6179678;syn6179454;syn6182356;syn6179409;syn6179489;syn6179342;syn6179413"
hgnc:10431	human_gene_protein	RPS6KA2	"RPS6KA2;Ribosomal protein S6 kinase alpha-2 OS;Ribosomal protein S6 kinase alpha-2;>tr|F2Z2J1|F2Z2J1_HUMAN Ribosomal protein S6 kinase OS=Homo sapiens GN=RPS6KA2 PE=2 SV=1;Ribosomal protein S6 kinase alpha-2 OS=Homo sapiens GN=RPS6KA2 PE=1 SV=2 - [KS6A2_HUMAN];Ribosomal protein S6 kinase;Rps6ka2;>sp|Q15349|KS6A2_HUMAN Ribosomal protein S6 kinase alpha-2 OS=Homo sapiens GN=RPS6KA2 PE=1 SV=2;>tr|B7Z3B5|B7Z3B5_HUMAN Ribosomal protein S6 kinase alpha-2 OS=Homo sap"	"Gene;Description;Gene Symbol;Uniprot;Kinase;Gene2;Gene names2;protein;Gene names;Fasta headers;Protein names"	https://bioregistry.io/hgnc:10431	"syn6179635;syn18457649;syn6182339;syn6179468;syn6182361;syn18457645;syn6179678;syn6179383;syn18457639;syn6182356;syn6179644;syn6181167;syn6179555;syn6179671;syn6179568;syn6179379;syn6179521;syn6179454;syn6182329;syn6182623"
hgnc:10434	human_gene_protein	RPS6KA5	"Ribosomal protein S6 kinase alpha-5 OS;Ribosomal protein S6 kinase;Rps6ka5;Ribosomal protein S6 kinase alpha-5;>sp|O75582|KS6A5_HUMAN Ribosomal protein S6 kinase alpha-5 OS=Homo sapiens GN=RPS6KA5 PE=1 SV=1;>tr|B7Z2Y5|B7Z2Y5_HUMAN Ribosomal protein S6 kinase OS=Homo sapiens GN=RPS6KA5 PE=2 SV=1;RPS6KA5"	"Gene;Description;Gene Symbol;Uniprot;Kinase;Gene2;Gene names2;protein;Gene names;Kinase2;Fasta headers;Protein names"	https://bioregistry.io/hgnc:10434	"syn18457649;syn6182339;syn6179468;syn18457645;syn6182356;syn6179420;syn6181167;syn6179555;syn6179671;syn6179568;syn6179454;syn6182329;syn6182623;syn6182332;syn18457634;syn6179399;syn6179489;syn6182317;syn18457653;syn6179480"
