curie:ID	:LABEL	name	raw_texts:string[]	columns:string[]	iri	file_id:string[]	tool_type	DOI	source:string[]	study_url
syn2343195	Project		"syn2343195"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939872	Project		"syn4939872"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939874	Project		"syn4939874"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939876	Project		"syn4939876"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939878	Project		""	""		""			";projects"	projects
syn4939880	Project		"syn4939880"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939884	Project		"syn4939884"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939888	Project		"syn4939888"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939890	Project		"syn4939890"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939892	Project		"syn4939892"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939894	Project		""	""		""			";projects"	projects
syn4939896	Project		"syn4939896"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939902	Project		"syn4939902"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939904	Project		"syn4939904"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939906	Project		"syn4939906"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939908	Project		"syn4939908"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939910	Project		"syn4939910"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939912	Project		"syn4939912"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939914	Project		"syn4939914"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939916	Project		"syn4939916"	"metadata"		""			";metadata;projects"	projects;metadata
syn4939918	Project		"syn4939918"	"metadata"		""			";metadata;projects"	projects;metadata
syn4984604	Project		"syn4984604"	"metadata"		""			";metadata;projects"	projects;metadata
syn5562324	Project		""	""		""			";projects"	projects
syn5610418	Project		""	""		""			";projects"	projects
syn5698493	Project		"syn5698493"	"metadata"		""			";metadata;projects"	projects;metadata
syn6633069	Project		"syn6633069"	"metadata"		""			";metadata;projects"	projects;metadata
syn7217928	Project		"syn7217928"	"metadata"		""			";metadata;projects"	projects;metadata
syn7217935	Project		"syn7217935"	"metadata"		""			";metadata;projects"	projects;metadata
syn7217946	Project		"syn7217946"	"metadata"		""			";metadata;projects"	projects;metadata
syn7231973	Project		"syn7231973"	"metadata"		""			";metadata;projects"	projects;metadata
syn7239560	Project		"syn7239560"	"metadata"		""			";metadata;projects"	projects;metadata
syn8012530	Project		"syn8012530"	"metadata"		""			";metadata;projects"	projects;metadata
syn8012599	Project		"syn8012599"	"metadata"		""			";metadata;projects"	projects;metadata
syn8016577	Project		"syn8016577"	"metadata"		""			";metadata;projects"	projects;metadata
