:START_ID	:END_ID	:TYPE
syn21642027:Wiki	MESH:D016430	mentions
syn21642027:Wiki	CHEBI:CHEBI:34922	mentions
syn4939906	CHEBI:CHEBI:90237	has_small_molecule
syn5562324	CHEBI:CHEBI:61397	has_small_molecule
syn2343195	HGNC:19987	has_human_gene_protein
syn21984813:Wiki	HGNC:9171	mentions
syn11817821:Wiki	MESH:D002621	mentions
syn2343195	CHEBI:CHEBI:5001	has_small_molecule
syn2343195	HGNC:19998	has_human_gene_protein
syn4939906	CHEBI:CHEBI:568021	has_small_molecule
syn52740594	CHEBI:CHEBI:31717	has_small_molecule
syn2343195	HGNC:19425	has_human_gene_protein
syn52740594	CHEBI:CHEBI:75401	has_small_molecule
syn2343195	HGNC:15631	has_human_gene_protein
syn4939906	CHEBI:CHEBI:10110	has_small_molecule
syn52740594	CHEBI:CHEBI:59732	has_small_molecule
syn4939906	HGNC:4498	has_human_gene_protein
syn4939906	HGNC:11724	has_human_gene_protein
syn2343195	CHEBI:CHEBI:91076	has_small_molecule
syn2343195	CHEBI:CHEBI:567361	has_small_molecule
syn4939906	CHEBI:CHEBI:2567	has_small_molecule
syn52740594	https://doi.org/10.48105/pc.gr.88660	has_grantDOI
syn2343195	HGNC:25965	has_human_gene_protein
syn52740594	MESH:D000691	has_small_molecule
syn11638893:Wiki	MESH:D009361	mentions
syn52740594	CHEBI:CHEBI:3720	has_small_molecule
syn4939906	MESH:C119379	has_small_molecule
syn2343195	CHEBI:CHEBI:9948	has_small_molecule
syn4939906	HGNC:8976	has_human_gene_protein
syn52740594	CHEBI:CHEBI:6775	has_small_molecule
syn21650493	FPLX:Notch	has_protein_family_complex
syn2343195	HGNC:7850	has_human_gene_protein
syn2343195	HGNC:7856	has_human_gene_protein
syn11817821	CHEBI:CHEBI:85990	has_small_molecule
syn2343195	HGNC:7059	has_human_gene_protein
syn11817821	drugScreen	has_dataType
syn2343195	HGNC:19703	has_human_gene_protein
syn11817821	MESH:C417521	has_small_molecule
syn2343195	CHEBI:CHEBI:50138	has_small_molecule
syn27761862	syn26383473	has_relatedStudies
syn11817821	CHEBI:CHEBI:93751	has_small_molecule
syn52740594	CHEBI:CHEBI:31709	has_small_molecule
syn4939906	CHEBI:CHEBI:71958	has_small_molecule
syn4939906	CHEBI:CHEBI:5356	has_small_molecule
syn52740594	CHEBI:CHEBI:4657	has_small_molecule
syn4939906	CHEBI:CHEBI:40953	has_small_molecule
syn2343195	CHEBI:CHEBI:53777	has_small_molecule
syn52740594	CHEBI:CHEBI:29693	has_small_molecule
syn52740594	CHEBI:CHEBI:225824	has_small_molecule
syn2343195	MESH:D017468	has_human_gene_protein
syn52740594	CHEBI:CHEBI:9544	has_small_molecule
syn52740594	MESH:C547581	has_small_molecule
syn52740594	MESH:C049853	has_small_molecule
syn2343195	CHEBI:CHEBI:42588	has_small_molecule
syn2343195	CHEBI:CHEBI:45863	has_small_molecule
syn4939906	HGNC:6880	has_human_gene_protein
syn11817821:Wiki	EFO:0007553	mentions
syn4939906	CHEBI:CHEBI:3962	has_small_molecule
syn2343195	CHEBI:CHEBI:68647	has_small_molecule
syn23639889	AlignedReads	has_dataType
syn4939906	CHEBI:CHEBI:90686	has_small_molecule
syn2343195	MESH:C106679	has_human_gene_protein
syn2343195	CHEBI:CHEBI:177460	has_small_molecule
syn2343195	HGNC:17346	has_human_gene_protein
syn51133914:Wiki	GO:GO:0045202	mentions
syn4939906	FPLX:Na_K_ATPase	has_protein_family_complex
