fp	sheet	column	group_identifier	is_entity_col
/Users/buzgalbraith/.synapseCache/479/94800479/NF2+_AC-CRISPR drug treatment.xlsx	sheet1	field1	syn27761862	unchecked
/Users/buzgalbraith/.synapseCache/33/37740033/CTF-UCF-Cenix-CompleteCompoundData-all passes in one tab_ to release_FINAL_cleaned.xlsx	legend	Overview of experimental rounds	syn5562324	unchecked
/Users/buzgalbraith/.synapseCache/311/9437311/Synodos_DrugScreen_processed_data.tsv	synodos_drugscreen_processed_data	drug	syn2343195	unchecked
/Users/buzgalbraith/.synapseCache/403/8916403/Blakeley_670_RESPONSES_2016-04-08_111853222_042216.xlsx	report	field8	syn4939874	unchecked
/Users/buzgalbraith/.synapseCache/179/15489179/NF study data_IUSM 5.16.2017_responses.csv	nf-study-data_iusm-5.16.2017_responses	skin4	syn4939878	unchecked
/Users/buzgalbraith/.synapseCache/351/8445351/GA_affy_CHP.xlsx	metadata	field10	syn4939890	unchecked
/Users/buzgalbraith/.synapseCache/638/7418638/HFF_10x10_CCG_16h_metadata.csv	hff_10x10_ccg_16h_metadata	RowTarget	syn4939906	unchecked
/Users/buzgalbraith/.synapseCache/630/147381630/samplesheet.valid.csv	samplesheet.valid	fastq_1	syn4984604	unchecked
/Users/buzgalbraith/.synapseCache/618/42391618/F1 Generation Weights_7-1-19_FIN.xlsx	compiled	Animal ID	syn5610418	unchecked
/Users/buzgalbraith/.synapseCache/986/128968986/synapse_storage_manifest_rnaseqtemplate.csv	synapse_storage_manifest_rnaseqtemplate	specimenPreparationMethod	syn7217928	unchecked
/Users/buzgalbraith/.synapseCache/146/14454146/pharmacology comparison - NeXT library versus current collection.xlsx	potency-100nm	Assessment	syn7239560	unchecked
/Users/buzgalbraith/.synapseCache/22/161799022/AL002-001.xlsx	al002-001	field2	syn8012530	unchecked
/Users/buzgalbraith/.synapseCache/130/85158130/112921_Kinome_Walker_Synapse.xlsx	key	Cell line	syn8016599	unchecked
/Users/buzgalbraith/.synapseCache/480/127886480/synapse_storage_manifest_clinicalassaytemplate.csv	synapse_storage_manifest_clinicalassaytemplate	fileFormat	syn8016635	unchecked
/Users/buzgalbraith/.synapseCache/911/79744911/fig36B hydrolysis.xlsx	foglio1	field22	syn8016650	unchecked
/Users/buzgalbraith/.synapseCache/420/102730420/synapse_storage_manifest.csv	synapse_storage_manifest	studyName	syn11374333	unchecked
/Users/buzgalbraith/.synapseCache/706/62929706/P0 vs P5 sphere comparison.xlsx	default	Description	syn11374337	unchecked
/Users/buzgalbraith/.synapseCache/94/101467094/synapse_storage_manifest.csv	synapse_storage_manifest	initiative	syn11374339	unchecked
/Users/buzgalbraith/.synapseCache/770/123295770/Mast_cell_count_data_Kallionpaa_et_al_Dermatology_2022.xlsx	documentation	field2	syn11374341	unchecked
/Users/buzgalbraith/.synapseCache/867/122536867/synapse_storage_manifest_imagingassaytemplate.csv	synapse_storage_manifest_imagingassaytemplate	Uuid	syn11374345	unchecked
/Users/buzgalbraith/.synapseCache/679/124495679/samplesheet.valid.csv	samplesheet.valid	sample	syn11374349	unchecked
/Users/buzgalbraith/.synapseCache/757/65337757/NF_SoragniLab-Seq-data.xlsx	legend	NF007=Patient7; -2=Tumor 2; -3-6=Pooled tumors 3 to 6; M=Mammocult base; D=DMEM base; S=StemPro base; +C=with cytokines; +F=with forskoline	syn11374354	unchecked
