:START_ID	:END_ID	:TYPE
syn2343195	hgnc:1569	has_human_gene_protein
syn8016599	hgnc:25581	has_human_gene_protein
syn8016599	hgnc:16460	has_human_gene_protein
syn4939906	hgnc:17451	has_human_gene_protein
syn2343195	hgnc:20297	has_human_gene_protein
syn52677046	NTAP	has_fundingAgency
syn2343195	hgnc:9318	has_human_gene_protein
syn11374357	mesh:D018319	has_disease
syn52740594	mesh:C544549	has_small_molecule
syn8016577	Neurofibromatosis type 1	has_diseaseFocus
syn52740594	chebi:16114	has_small_molecule
syn11672851	mesh:C000711092	has_small_molecule
syn8016599	hgnc:30055	has_human_gene_protein
syn18904024	California Institute of Technology	has_institutions
syn63944395:Wiki	mesh:D014495	mentions
syn7239560	mesh:D041221	has_organism
syn5698493	Low Grade Glioma	has_manifestation
syn2343195	hgnc:17353	has_human_gene_protein
syn11672851	chebi:32184	has_small_molecule
syn8016599	hgnc:7756	has_human_gene_protein
syn4939906	hgnc:3553	has_human_gene_protein
syn4939906	chebi:31521	has_small_molecule
syn4939880	syn51227166	has_relatedStudies
syn63102351:Wiki	mesh:D005815	mentions
syn50315996	syn51298831	has_relatedStudies
syn11672851	chebi:45931	has_small_molecule
syn8016599	hgnc:28172	has_human_gene_protein
syn2343195	hgnc:18672	has_human_gene_protein
syn11672851	chebi:338412	has_small_molecule
syn2343195	chebi:82665	has_small_molecule
syn2343195	hgnc:23140	has_human_gene_protein
syn2343195	hgnc:17845	has_human_gene_protein
syn18904024:Wiki	hgnc:7094	mentions
syn2343195	hgnc:1938	has_human_gene_protein
syn36544436:Wiki	hgnc:7765	mentions
syn53604892	Under Embargo	has_dataStatus
syn4939906	hgnc:6860	has_human_gene_protein
syn11374337	hgnc:13707	has_human_gene_protein
syn52740594	mesh:C555142	has_small_molecule
syn52740594	mesh:D006590	has_small_molecule
syn8016599	hgnc:6299	has_human_gene_protein
syn2343195	hgnc:9483	has_human_gene_protein
syn22268689	hgnc:7782	has_human_gene_protein
syn2343195	hgnc:14253	has_human_gene_protein
syn22267284	hgnc:10325	has_human_gene_protein
syn2343195	hgnc:2230	has_human_gene_protein
syn11672851	hgnc:638	has_human_gene_protein
syn36501403:Wiki	mesh:D012160	mentions
syn22267330	hgnc:6284	has_human_gene_protein
syn11672851	hgnc:8979	has_human_gene_protein
syn62031004	MPNST	has_manifestation
syn2343195	hgnc:7993	has_human_gene_protein
syn66527425:Wiki	mesh:D005582	mentions
syn2343195	hgnc:3374	has_human_gene_protein
syn2343195	hgnc:7797	has_human_gene_protein
syn21355225	Drug Discovery Initiative Registered Reports	has_initiative
syn2343195	hgnc:23087	has_human_gene_protein
syn2343195	hgnc:14652	has_human_gene_protein
syn8016599	hgnc:15578	has_human_gene_protein
syn51133929:Wiki	doid:5940	mentions
syn2343195	hgnc:17009	has_human_gene_protein
syn2343195	hgnc:16628	has_human_gene_protein
syn51356860:Wiki	mesh:D003116	mentions
syn62012147:Wiki	hgnc:34499	mentions
syn11672851	chebi:27856	has_small_molecule
syn2343195	hgnc:12852	has_human_gene_protein
syn11672851	mesh:C000620859	has_small_molecule
syn52399590:Wiki	mesh:D011984	mentions
syn22267330	hgnc:24968	has_human_gene_protein
syn8016599	hgnc:361	has_human_gene_protein
syn56421718	mesh:D009456	has_diseaseFocus
syn22267284	hgnc:15910	has_human_gene_protein
syn22267330	hgnc:2310	has_human_gene_protein
syn8016599	hgnc:13539	has_human_gene_protein
syn2343195	hgnc:26327	has_human_rna
syn39800678	https://www.doi.org/10.54464/pc.gr.153996	has_grantDOI
syn26347297	mesh:D012082	has_anatomical_region
syn2343195	hgnc:17859	has_human_gene_protein
syn2343195	hgnc:4806	has_human_gene_protein
syn21650480:Wiki	mesh:D065026	mentions
syn4939906	chebi:4021	has_small_molecule
syn11672851	hgnc:9038	has_human_gene_protein
syn11374337	hgnc:28550	has_human_gene_protein
syn8016599	hgnc:20715	has_human_gene_protein
syn51116577:Wiki	mesh:D016514	mentions
syn8016599	hgnc:6881	has_human_gene_protein
syn23651229	National Cancer Institute	has_institutions
syn11817821	mesh:C000600809	has_small_molecule
syn22268689	hgnc:1620	has_human_gene_protein
syn2343195	hgnc:404	has_human_gene_protein
syn2343195	hgnc:9117	has_human_gene_protein
syn64126375:Wiki	mesh:D007167	mentions
syn69715258:Wiki	mesh:D009442	mentions
syn2343195	hgnc:18334	has_human_gene_protein
syn63944395:Wiki	mesh:D003933	mentions
syn8016599	hgnc:8766	has_human_gene_protein
syn11672851	mesh:D004330	has_organism
syn53128248:Wiki	efo:0001651	mentions
syn8016599	hgnc:10304	has_human_gene_protein
syn68622908	Data Pending	has_dataStatus
syn11672851	mesh:C042591	has_human_gene_protein
syn2343195	hgnc:24336	has_human_gene_protein
syn37861830:Wiki	efo:0002752	mentions
syn11672851	chebi:348530	has_small_molecule
syn11672851	hgnc:2676	has_human_gene_protein
syn4939910:Wiki	mesh:D018319	mentions
syn11672851	chebi:61176	has_small_molecule
syn8016599	hgnc:7208	has_human_gene_protein
syn7239560	mesh:D032449	has_organism
syn2343195	hgnc:24684	has_human_gene_protein
syn7217935	https://doi.org/10.54464/pc.gr.147670	has_grantDOI
syn4939906	mesh:C528279	has_human_gene_protein
syn36361151:Wiki	mesh:D014785	mentions
syn36530163:Wiki	mesh:D014785	mentions
syn26238842	Oregon State University	has_institutions
syn11374337	hgnc:30801	has_human_gene_protein
syn68623354:Wiki	mesh:D014495	mentions
syn37861830:Wiki	mesh:D013502	mentions
syn63596553:Wiki	mesh:D018318	mentions
syn11672851	chebi:15366	has_small_molecule
syn11672851	chebi:27539	has_small_molecule
syn52740594	mesh:C010941	has_small_molecule
syn56417025:Wiki	mesh:D012867	mentions
syn8016599	hgnc:6024	has_human_gene_protein
syn22268689	hgnc:4038	has_human_gene_protein
syn22267284	hgnc:8630	has_human_gene_protein
syn11672851	chebi:83527	has_small_molecule
syn11374337	hgnc:15748	has_human_gene_protein
syn18904024	mesh:D019540	has_experimental_factor
syn36544517:Wiki	chebi:23888	mentions
syn11672851	hgnc:9406	has_human_gene_protein
syn4939918	syn4489	has_parentId
syn22267330	hgnc:4588	has_human_gene_protein
syn7239560	mesh:D017181	has_organism
syn62031290:Wiki	efo:0009736	mentions
syn51356705:Wiki	hgnc:18549	mentions
syn11374337	hgnc:725	has_human_gene_protein
syn31619419:Wiki	mesh:D061848	mentions
syn8016599	hgnc:28870	has_human_gene_protein
syn11672851	hgnc:1780	has_human_gene_protein
syn53183718	https://doi.org/10.48105/CTF.CTF-2023-01-003.pc.gr.172010	has_grantDOI
syn31748644:Wiki	efo:0009656	mentions
syn8016599	hgnc:2728	has_human_gene_protein
syn2343195	mesh:C561310	has_small_molecule
syn2343195	hgnc:1239	has_human_gene_protein
syn29525025:Wiki	fplx:RAS	mentions
syn8016599	hgnc:10325	has_human_gene_protein
syn27114640	Active	has_studyStatus
syn11672851	chebi:39949	has_small_molecule
syn8016650	hgnc:2579	has_human_gene_protein
syn11672851	mesh:C518651	has_small_molecule
syn2343195	hgnc:30278	has_human_gene_protein
syn11672851	mesh:C401311	has_human_gene_protein
syn36530126:Wiki	efo:0001738	mentions
syn8016599	hgnc:23416	has_human_gene_protein
syn2343195	hgnc:25891	has_human_gene_protein
syn11672851	mesh:C529000	has_human_gene_protein
syn2343195	hgnc:27619	has_human_gene_protein
syn2343195	hgnc:30700	has_human_gene_protein
syn50315996	Data Pending	has_dataStatus
syn2343195	hgnc:13796	has_human_gene_protein
syn22267330	hgnc:8691	has_human_gene_other
syn2343195	chebi:7479	has_small_molecule
syn22267284	hgnc:11323	has_human_gene_protein
syn4939910:Wiki	mesh:D014024	mentions
syn11672851	chebi:61272	has_small_molecule
syn2343195	chebi:2762	has_small_molecule
syn11672851	chebi:9241	has_small_molecule
syn11672851	fplx:Ubiquitin	has_protein_family_complex
syn63596553	Plexiform Neurofibroma	has_manifestation
syn2343195	chebi:4055	has_small_molecule
syn22268689	hgnc:28889	has_human_gene_protein
syn11672851	mesh:C103207	has_small_molecule
syn37889584	Data Pending	has_dataStatus
syn8016599	hgnc:17780	has_human_gene_protein
syn21452685	mesh:D054429	has_manifestation
syn8016599	hgnc:20746	has_human_gene_protein
syn11672851	chebi:85994	has_small_molecule
syn11374337	hgnc:30034	has_human_gene_protein
syn22392179	syn32128792	has_relatedStudies
syn2343195	hgnc:29025	has_human_gene_protein
syn21650488:Wiki	mesh:D009274	mentions
syn51204782:Wiki	chebi:59132	mentions
syn11672851	chebi:177493	has_small_molecule
syn2343195	hgnc:23352	has_human_gene_protein
syn11672851	hgnc:1381	has_human_gene_protein
syn11672851	chebi:3646	has_small_molecule
syn36544490	syn36544490:Wiki	hasWiki
syn11817821	Neurofibromatosis type 1	has_diseaseFocus
syn4939910:Wiki	mesh:D063646	mentions
syn22268689	hgnc:17233	has_human_gene_protein
syn22268639:Wiki	mesh:D019359	mentions
syn22266606:Wiki	hp:0025153	mentions
syn8016599	hgnc:16273	has_human_gene_protein
syn11672851	chebi:15756	has_small_molecule
syn11374337	hgnc:3672	has_human_gene_protein
syn61249909:Wiki	efo:0008568	mentions
syn11672851	chebi:15355	has_small_molecule
syn51133957:Wiki	go:0008283	mentions
syn2343195	hgnc:19990	has_human_gene_protein
syn8016599	hgnc:6993	has_human_gene_protein
syn4939906	chebi:91407	has_small_molecule
syn2343195	hgnc:26171	has_human_gene_protein
syn4939904:Wiki	mesh:D000074286	mentions
syn8016599	hgnc:20758	has_human_gene_protein
syn11672851	mesh:C000629141	has_human_gene_protein
syn2343195	hgnc:5195	has_human_gene_protein
syn35632706:Wiki	chebi:75998	mentions
syn2343195	hgnc:7945	has_human_gene_protein
syn11672851	mesh:C114144	has_small_molecule
syn2343195	hgnc:16068	has_human_gene_protein
syn2343195	hgnc:493	has_human_gene_protein
syn2343195	hgnc:25168	has_human_gene_protein
syn11374337	hgnc:5154	has_human_gene_protein
syn30283982	Open Proposal Program	has_initiative
syn26347297:Wiki	mesh:D059016	mentions
syn11672851	hgnc:6363	has_human_gene_protein
syn22267330	hgnc:547	has_human_gene_protein
syn4939906	mesh:C570041	has_small_molecule
syn8016599	hgnc:23060	has_human_gene_protein
syn68622867	Active	has_studyStatus
syn69071607:Wiki	mesh:D017354	mentions
syn11672851	mesh:C107079	has_small_molecule
syn11374333	NTAP	has_fundingAgency
syn11672851	chebi:77614	has_small_molecule
syn11672851	hgnc:449	has_human_gene_protein
syn22267330	hgnc:9036	has_human_gene_protein
syn8016599	hgnc:9751	has_human_gene_protein
syn54308478:Wiki	mesh:D055825	mentions
syn11672851	hgnc:338	has_human_gene_protein
syn2343195	hgnc:16012	has_human_gene_protein
syn2343195	hgnc:29035	has_human_gene_protein
syn4939906:Wiki	mesh:D013812	mentions
syn64156441:Wiki	mesh:D012640	mentions
syn25999239:Wiki	mesh:D001921	mentions
syn22267330	hgnc:20983	has_human_gene_protein
syn11672851	hgnc:1756	has_human_gene_protein
syn26383473:Wiki	hgnc:9801	mentions
syn11374339	NTAP	has_fundingAgency
syn61249909:Wiki	go:0030431	mentions
syn61915471	mesh:D009456	has_diseaseFocus
syn11672851	chebi:167202	has_small_molecule
syn4939890:Wiki	mesh:D013601	mentions
syn35637409	syn51227166	has_relatedStudies
syn2343195	hgnc:14033	has_human_gene_protein
syn11672851	hgnc:3526	has_human_gene_protein
syn2343195	hgnc:18235	has_human_gene_protein
syn4939902	raw counts	has_dataType
syn2343195	hgnc:14621	has_human_gene_protein
syn2343195	hgnc:9319	has_human_gene_protein
syn8016599	hgnc:2359	has_human_gene_protein
syn62665253:Wiki	go:0044306	mentions
syn11672851	hgnc:6622	has_human_gene_protein
syn51116572	CTF	has_fundingAgency
syn62026045:Wiki	hgnc:7784	mentions
syn22267284	hgnc:713	has_human_gene_protein
syn21650326	mesh:D009456	has_diseaseFocus
syn11672851	hgnc:166	has_human_gene_protein
syn8016599	hgnc:21898	has_human_gene_protein
syn22268689	hgnc:1383	has_human_gene_protein
syn51133924	National Institutes of Health	has_institutions
syn61831970	mesh:D009442	has_manifestation
syn2343195	hgnc:14569	has_human_gene_protein
syn53604892:Wiki	go:0023052	mentions
syn52740594	chebi:135994	has_small_molecule
