curie:ID	:LABEL
CHEBI:CHEBI:41922	small_molecule
CHEBI:CHEBI:85990	small_molecule
HGNC:15483	human_gene_protein
HGNC:23326	human_gene_protein
EFO:1000541	experimental_factor
CHEBI:CHEBI:28934	small_molecule
CHEBI:CHEBI:78825	small_molecule
HGNC:7579	human_gene_protein
CHEBI:CHEBI:6757	small_molecule
HGNC:4923	human_gene_protein
MESH:C000707850	small_molecule
CHEBI:CHEBI:8688	small_molecule
raw counts	dataType
HGNC:11778	human_gene_protein
CHEBI:CHEBI:77967	small_molecule
CHEBI:CHEBI:2675	small_molecule
CHEBI:CHEBI:3764	small_molecule
CHEBI:CHEBI:32007	small_molecule
CHEBI:CHEBI:183637	small_molecule
CHEBI:CHEBI:135587	small_molecule
HGNC:5239	human_gene_protein
HGNC:1736	human_gene_protein
CHEBI:CHEBI:6133	small_molecule
CHEBI:CHEBI:46629	small_molecule
GO:GO:0008152	biological_process
EFO:0000428	experimental_factor
MESH:D014427	other
HGNC:11732	human_gene_protein
CHEBI:CHEBI:125354	small_molecule
HGNC:16254	human_gene_protein
CHEBI:CHEBI:3395	small_molecule
HGNC:132	human_gene_protein
HGNC:20739	human_gene_protein
CHEBI:CHEBI:3567	small_molecule
HGNC:19699	human_gene_protein
CHEBI:CHEBI:28262	small_molecule
HGNC:10848	human_gene_protein
CHEBI:CHEBI:3645	small_molecule
genomicVariants	dataType
MESH:C115929	small_molecule
HGNC:7381	human_gene_protein
HGNC:16676	human_gene_protein
CHEBI:CHEBI:101381	small_molecule
HGNC:6511	human_gene_protein
HGNC:3535	human_gene_protein
CHEBI:CHEBI:84743	small_molecule
CHEBI:CHEBI:32087	small_molecule
MESH:D006653	other
HGNC:24092	human_gene_protein
MESH:D004249	biological_process
HGNC:2260	human_gene_protein
MESH:D014305	human_gene_protein
HGNC:6401	human_gene_protein
CHEBI:CHEBI:63791	small_molecule
HGNC:10596	human_gene_protein
syn51117783	relatedStudies
HGNC:10387	human_gene_protein
CHEBI:CHEBI:31669	small_molecule
HGNC:10582	human_gene_protein
HGNC:4910	human_gene_protein
HGNC:6040	human_gene_protein
MESH:D007150	experimental_factor
HGNC:7746	human_gene_protein
CHEBI:CHEBI:41688	small_molecule
CHEBI:CHEBI:59164	small_molecule
CHEBI:CHEBI:38105	small_molecule
CHEBI:CHEBI:5062	small_molecule
CHEBI:CHEBI:135552	small_molecule
CHEBI:CHEBI:65347	small_molecule
CHEBI:CHEBI:28462	small_molecule
HGNC:381	human_gene_protein
HGNC:620	human_gene_protein
HGNC:2873	human_gene_protein
HGNC:2215	human_gene_protein
