:START_ID	:END_ID	:TYPE
syn4939902	JH-2-031	usesTool
syn4939906	rrid:CVCL_UI64	usesTool
syn4939906	rrid:CVCL_UI72	usesTool
syn63944395	JH-2-002	usesTool
syn26241781	rrid:CVCL_AU21	usesTool
syn4939902	JH-2-009	usesTool
syn11374339	rrid:CVCL_UI67	usesTool
syn4939906	rrid:CVCL_UI74	usesTool
syn22392179	rrid:CVCL_4662	usesTool
syn11817821	rrid:CVCL_0291	usesTool
syn7217928	rrid:CVCL_UI65	usesTool
syn11817821	rrid:CVCL_K280	usesTool
syn11374339	rrid:CVCL_B9V9	usesTool
syn21984813	JH-2-009	usesTool
syn7217928	rrid:CVCL_UI67	usesTool
syn11374339	rrid:CVCL_B9V0	usesTool
syn21984813	rrid:CVCL_8916	usesTool
syn4939874	rrid:CVCL_UI66	usesTool
syn11374339	rrid:CVCL_D3C9	usesTool
syn4939906	rrid:CVCL_UI68	usesTool
syn22392179	rrid:CVCL_1Y70	usesTool
syn11374339	rrid:CVCL_D3CB	usesTool
syn63944395	rrid:CVCL_1Y70	usesTool
syn22392179	rrid:CVCL_K281	usesTool
syn11817821	rrid:CVCL_8916	usesTool
syn11374353	rrid:CVCL_B9V9	usesTool
syn4939874	rrid:CVCL_UI70	usesTool
syn4939902	JH-2-002	usesTool
syn4939906	rrid:CVCL_UI69	usesTool
syn22392179	rrid:CVCL_8916	usesTool
syn63944395	rrid:CVCL_8916	usesTool
syn11374339	rrid:CVCL_B9VB	usesTool
syn11374357	rrid:CVCL_8916	usesTool
syn11374339	rrid:CVCL_B9V1	usesTool
syn4939906	rrid:CVCL_UI67	usesTool
syn63944395	rrid:CVCL_1B47	usesTool
syn4939906	rrid:CVCL_UI65	usesTool
syn4939874	rrid:CVCL_UI75	usesTool
syn11374339	rrid:CVCL_D3C8	usesTool
syn11817821	rrid:CVCL_K281	usesTool
syn51133946	N10	usesTool
syn11817821	rrid:CVCL_IU70	usesTool
syn52369030	JH-2-002	usesTool
syn11374339	rrid:CVCL_B9VA	usesTool
syn11374339	rrid:CVCL_B9V2	usesTool
syn4939874	rrid:CVCL_UI71	usesTool
syn23639889	JH-2-002	usesTool
syn11374339	rrid:CVCL_B9V7	usesTool
syn22392179	rrid:CVCL_8717	usesTool
syn11817821	rrid:CVCL_1B47	usesTool
syn22392179	rrid:CVCL_8917	usesTool
syn22392179	rrid:CVCL_1B47	usesTool
syn4939874	rrid:CVCL_UI72	usesTool
syn4939874	rrid:CVCL_UI64	usesTool
syn11374339	rrid:CVCL_UI71	usesTool
syn4939906	rrid:CVCL_UI71	usesTool
syn11374357	rrid:CVCL_UI65	usesTool
syn11374339	rrid:CVCL_B9V6	usesTool
syn4939874	rrid:CVCL_UI69	usesTool
syn11681835	rrid:CVCL_AU21	usesTool
syn11374339	rrid:CVCL_B9UZ	usesTool
syn7217928	rrid:CVCL_UI66	usesTool
syn11374339	rrid:CVCL_D3CA	usesTool
syn4939874	rrid:CVCL_UI78	usesTool
syn11374339	rrid:CVCL_B9V4	usesTool
syn11374339	rrid:CVCL_B9V3	usesTool
syn7217928	rrid:CVCL_UI70	usesTool
syn21984813	JH-2-031	usesTool
syn11374339	rrid:CVCL_B9V8	usesTool
syn22392179	rrid:CVCL_8718	usesTool
syn11374339	rrid:CVCL_B9V5	usesTool
syn11374339	rrid:CVCL_B9VC	usesTool
syn11817821	rrid:CVCL_JK02	usesTool
syn21984813	JH-2-002	usesTool
syn11374339	rrid:CVCL_D3C7	usesTool
syn4939874	rrid:CVCL_UI67	usesTool
syn11374339	rrid:CVCL_UI70	usesTool
syn7231973	rrid:CVCL_UN11	usesTool
syn4939906	rrid:CVCL_UI70	usesTool
syn21984813	rrid:CVCL_JK02	usesTool
syn7217928	rrid:CVCL_UI68	usesTool
