curie:ID	name	tool_type	:LABEL
rrid:CVCL_6133	SK-MEL-266	Cell Line	tool
rrid:CVCL_1T96	SK-MEL-479	Cell Line	tool
rrid:CVCL_KT82	HeLa SilenciX NF1	Cell Line	tool
rrid:CVCL_6037	SK-MEL-40	Cell Line	tool
rrid:AB_11213889	Anti-Neurofibromin antibody	Antibody	tool
BTSC 233	BTSC 233	Cell Line	tool
PlpCre;Nf1flox/+	PlpCre;Nf1flox/+	Animal Model	tool
Neurofibromin (NF1) (NM_001128147) Human Tagged ORF Clone	Neurofibromin (NF1) (NM_001128147) Human Tagged ORF Clone	Genetic Reagent	tool
Nf1flox/-;P0A-Cre-	Nf1flox/-;P0A-Cre-	Animal Model	tool
Nf1-/- Drosophila	Nf1-/- Drosophila	Animal Model	tool
rrid:AB_10002298	Neurofibromin 1 Antibody	Antibody	tool
rrid:CVCL_6155	SK-MEL-330	Cell Line	tool
rrid:CVCL_6105	SK-MEL-200	Cell Line	tool
rrid:AB_2235803	Rabbit anti Neurofibromin (Non-Phospho) antibody	Antibody	tool
rrid:CVCL_9J79	DD2345	Cell Line	tool
rrid:CVCL_1T66	SK-MEL-400	Cell Line	tool
rrid:CVCL_9Z91	GM09650	Cell Line	tool
rrid:CVCL_6168	SK-MEL-390	Cell Line	tool
rrid:CVCL_1444	SJNB-14	Cell Line	tool
rrid:AB_2512317	Anti-NF1 (C-terminal) polyclonal antibody	Antibody	tool
Immunotag NF1 Antibody	Immunotag NF1 Antibody	Antibody	tool
rrid:CVCL_RR32	GI-ME-NrVCR14	Cell Line	tool
C57BL/6JSmoc-Nf1em1Smoc	C57BL/6JSmoc-Nf1em1Smoc	Animal Model	tool
rrid:CVCL_1T81	SK-MEL-435	Cell Line	tool
rrid:CVCL_B474	TR14	Cell Line	tool
rrid:CVCL_1150	CTV-1	Cell Line	tool
rrid:CVCL_J071	YUTICA	Cell Line	tool
rrid:Addgene_83175	Hs.NRAS G12C	Genetic Reagent	tool
pETNF1–333	pETNF1–333	Genetic Reagent	tool
Anti-NF1/Cy5	Anti-NF1/Cy5	Antibody	tool
rrid:CVCL_B721	RG-315	Cell Line	tool
rrid:AB_1850579	Neurofibromin 1 Antibody (McNFn27a) [DyLight 550]	Antibody	tool
rrid:CVCL_A5PQ	NB90-4	Cell Line	tool
Neurofibromin Antibody / NF1	Neurofibromin Antibody / NF1	Antibody	tool
PC (772-1085)	PC (772-1085)	Antibody	tool
rrid:CVCL_1652	RERF-LC-Ad2	Cell Line	tool
rrid:CVCL_J357	MPNST-92	Cell Line	tool
anti-NFI(CI)	anti-NFI(CI)	Antibody	tool
Anti-phospho-NF1(Ser2817)/PE-Cy7	Anti-phospho-NF1(Ser2817)/PE-Cy7	Antibody	tool
rrid:Addgene_83153	Hs.KRAS4b K104Q	Genetic Reagent	tool
rrid:CVCL_E092	SK-MEL-315-05	Cell Line	tool
rrid:CVCL_6104	SK-MEL-199	Cell Line	tool
dNf1 Drosophila	dNf1 Drosophila	Animal Model	tool
rrid:CVCL_A258	KCL025	Cell Line	tool
rrid:CVCL_C0W3	GWH04	Cell Line	tool
rrid:CVCL_6106	SK-MEL-202	Cell Line	tool
rrid:CVCL_8817	SJNB-19	Cell Line	tool
rrid:CVCL_6160	SK-MEL-351	Cell Line	tool
rrid:CVCL_1T80	SK-MEL-432	Cell Line	tool
rrid:CVCL_UI65	hTERT ipn02.8	Cell Line	tool
rrid:CVCL_EI15	YUCYLO	Cell Line	tool
rrid:CVCL_A7NI	2XSB	Cell Line	tool
rrid:CVCL_S426	NZM041	Cell Line	tool
rrid:CVCL_9Z93	GM09652	Cell Line	tool
Krox20;Nf1flox/-	Krox20;Nf1flox/-	Animal Model	tool
rrid:CVCL_8823	SJNB-6	Cell Line	tool
rrid:CVCL_K023	YUSUBA	Cell Line	tool
rrid:AB_384160	Anti-Neurofibromin antibody	Antibody	tool
rrid:CVCL_1484	NCI-H1651	Cell Line	tool
NF10.1	NF10.1	Cell Line	tool
rrid:CVCL_G323	YUDOSO	Cell Line	tool
rrid:CVCL_YU17	NCC-MPNST5-C1	Cell Line	tool
rrid:CVCL_1508	NCI-H1944	Cell Line	tool
rrid:CVCL_6748	PK-45H	Cell Line	tool
Nf1flox/mut; NG2-Cre	Nf1flox/mut; NG2-Cre	Animal Model	tool
rrid:CVCL_A3UH	HPS1317	Cell Line	tool
rrid:CVCL_J518	YUCLAT	Cell Line	tool
Neurofibromin specific antibody	Neurofibromin specific antibody	Antibody	tool
rrid:Addgene_83159	Hs.KRAS4b Y40C	Genetic Reagent	tool
rrid:CVCL_J067	YUGOE	Cell Line	tool
Schwann cell NF1 -/- (iPN97.4 #24)	Schwann cell NF1 -/- (iPN97.4 #24)	Cell Line	tool
rrid:CVCL_6085	SK-MEL-146	Cell Line	tool
rrid:CVCL_EI23	YUPOM	Cell Line	tool
rrid:CVCL_C2NV	CPTC-NF1-2	Cell Line	tool
rrid:CVCL_3015	Lu-99	Cell Line	tool
rrid:CVCL_1638	Panc 08.13	Cell Line	tool
B6.129S6-Nf1<tm1Fcr>/Nci	B6.129S6-Nf1<tm1Fcr>/Nci	Animal Model	tool
Rabbit Anti-phospho-NF1 Antibody	Rabbit Anti-phospho-NF1 Antibody	Antibody	tool
iPSC NF1 WT	iPSC NF1 WT	Cell Line	tool
B6-129S4-Nf1-/+;Trp53-/+cis	B6-129S4-Nf1-/+;Trp53-/+cis	Animal Model	tool
HEK293 NF1 -/- with R1947X mNf1 cDNA	HEK293 NF1 -/- with R1947X mNf1 cDNA	Cell Line	tool
rrid:CVCL_K025	YUTER	Cell Line	tool
NF1-R68X Embryonic cells	NF1-R68X Embryonic cells	Cell Line	tool
rrid:AB_11146409	anti Neurofibromin antibody	Antibody	tool
rrid:AB_10822669	Neurofibromin 1 antibody (N-Term)	Antibody	tool
Anti-Neurofibromin NF-1 Antibody, clone NF1-A 376G3	Anti-Neurofibromin NF-1 Antibody, clone NF1-A 376G3	Antibody	tool
rrid:CVCL_1693	SHP-77	Cell Line	tool
rrid:Addgene_83133	Hs.KRAS4b G13D	Genetic Reagent	tool
rrid:CVCL_9Z77	GM09630	Cell Line	tool
rrid:CVCL_1R96	GM10502	Cell Line	tool
rrid:CVCL_0D47	NZM087	Cell Line	tool
rrid:CVCL_6099	SK-MEL-190	Cell Line	tool
Coriell Institute for Medical Research Biobank	Coriell Institute for Medical Research Biobank	Biobank	tool
rrid:CVCL_C2NU	CPTC-NF1-1	Cell Line	tool
HEK293 NF1 -/- clone 2	HEK293 NF1 -/- clone 2	Cell Line	tool
rrid:CVCL_6096	SK-MEL-186	Cell Line	tool
rrid:CVCL_8067	T3M-10	Cell Line	tool
rrid:Addgene_83130	Hs.KRAS4b G12C	Genetic Reagent	tool
rrid:CVCL_BA11	GM22279	Cell Line	tool
rrid:IMSR_JAX:027678	B6;129-Trp53tm1Tyj Nf1tm1Tyj Suz12Gt(Betageo)1Khe/KcichJ	Animal Model	tool
Anti-Neurofibromin/NF1 Antibody Picoband	Anti-Neurofibromin/NF1 Antibody Picoband	Antibody	tool
Anti-phospho-NF1(Ser2817)/Cy5.5	Anti-phospho-NF1(Ser2817)/Cy5.5	Antibody	tool
HEK293 NF1 -/- with R681X mNf1 cDNA	HEK293 NF1 -/- with R681X mNf1 cDNA	Cell Line	tool
rrid:CVCL_1587	NCI-H747	Cell Line	tool
rrid:CVCL_6159	SK-MEL-346	Cell Line	tool
Anti-NF1/PE-Cy3	Anti-NF1/PE-Cy3	Antibody	tool
rrid:CVCL_J527	YUSTE	Cell Line	tool
NF1‐iN	NF1‐iN	Cell Line	tool
rrid:CVCL_HL11	GM21674	Cell Line	tool
rrid:CVCL_6027	SK-MEL-23	Cell Line	tool
rrid:CVCL_J523	YULONE	Cell Line	tool
rrid:CVCL_9Z83	GM09636	Cell Line	tool
U87-NF1-419	U87-NF1-419	Cell Line	tool
rrid:CVCL_A1MF	MCRIi022-A	Cell Line	tool
rrid:CVCL_U912	SK-MEL-309B	Cell Line	tool
Cnp-EGFR (Pten-het/C-EGFR)	Cnp-EGFR (Pten-het/C-EGFR)	Animal Model	tool
rrid:CVCL_1376	LCLC-97TM1	Cell Line	tool
Neurofibromin CRISPR Plasmids (h)	Neurofibromin CRISPR Plasmids (h)	Genetic Reagent	tool
rrid:CVCL_D771	SK-MEL-321A	Cell Line	tool
rrid:CVCL_G324	YUFIC	Cell Line	tool
Anti-NF1/PE-Cy7	Anti-NF1/PE-Cy7	Antibody	tool
HEK293 NF1 -/- with R461X mNf1 cDNA	HEK293 NF1 -/- with R461X mNf1 cDNA	Cell Line	tool
rrid:CVCL_1443	SJNB-13	Cell Line	tool
rrid:CVCL_AU21	MPNST-14	Cell Line	tool
KRAS (NM_004985) Human Tagged ORF Clone	KRAS (NM_004985) Human Tagged ORF Clone	Genetic Reagent	tool
rrid:CVCL_1442	SJNB-12	Cell Line	tool
MPSNT-SP-002	MPSNT-SP-002	Animal Model	tool
B6/JGpt-Nf1<em1Cflox>/Gpt	B6/JGpt-Nf1<em1Cflox>/Gpt	Animal Model	tool
rrid:CVCL_9Z65	GM09536	Cell Line	tool
Nf1 Δ4/Δ4	Nf1 Δ4/Δ4	Animal Model	tool
B6;CBA-Nf1<em1Flmg>/Flmg	B6;CBA-Nf1<em1Flmg>/Flmg	Animal Model	tool
rrid:CVCL_6111	SK-MEL-217	Cell Line	tool
c.1149C > A NF1-mutant hiPSCs	c.1149C > A NF1-mutant hiPSCs	Cell Line	tool
rrid:AB_628009	Neurofibromin (McNFn27b) antibody	Antibody	tool
pENTER-CMV-NF1v1	pENTER-CMV-NF1v1	Genetic Reagent	tool
rrid:CVCL_EI22	YUPAC7	Cell Line	tool
129T2/SvEmsJ::C57Bl/6NTac Nf1+/-	129T2/SvEmsJ::C57Bl/6NTac Nf1+/-	Animal Model	tool
Anti-Neurofibromin Antibody	Anti-Neurofibromin Antibody	Antibody	tool
rrid:Addgene_83129	Hs.KRAS4b	Genetic Reagent	tool
Rabbit Anti-Neurofibromin Antibody	Rabbit Anti-Neurofibromin Antibody	Antibody	tool
Mouse Anti-Neurofibromin, aa27-41 Antibody	Mouse Anti-Neurofibromin, aa27-41 Antibody	Antibody	tool
Nf1:p53	Nf1:p53	Animal Model	tool
rrid:AB_2149682	Neurofibromin 1 Antibody (McNFn27b) [HRP]	Antibody	tool
pENTER-CMV-NF1v3	pENTER-CMV-NF1v3	Genetic Reagent	tool
Neurofibromin (NF1) Mouse Monoclonal Antibody	Neurofibromin (NF1) Mouse Monoclonal Antibody	Antibody	tool
